timestamp,lacc_x,lacc_y,lacc_z
3928466,0,-5,-2
3928476,-2,-6,0
3928486,0,-7,-4
3928496,1,-5,0
3928506,0,-4,-2
3928516,0,-7,0
3928526,0,-4,-2
3928536,0,-4,-3
3928546,0,-6,1
3928556,-2,-5,-4
3928566,1,-5,-1
3928576,0,-7,-3
3928586,0,-5,0
3928596,0,-4,-7
3928606,0,-5,-3
3928616,-1,-5,-4
3928626,0,-5,-2
3928636,0,-6,0
3928646,0,-7,-3
3928656,0,-5,0
3928666,1,-4,-4
3928676,1,-7,-3
3928686,1,-7,-3
3928696,1,-4,-1
3928706,0,-6,-3
3928716,-2,-6,0
3928726,0,-5,-4
3928736,0,-5,-3
3928746,0,-6,-2
3928756,0,-8,-2
3928766,1,-5,-4
3928776,0,-6,-2
3928786,1,-5,-2
3928796,1,-6,-2
3928806,0,-5,-3
3928816,0,-5,-1
3928826,-1,-4,-2
3928836,-2,-5,-1
3928846,0,-3,-2
3928856,0,-3,-1
3928866,0,-5,-2
3928876,-2,-5,-1
3928886,1,-7,0
3928896,0,-3,-2
3928906,0,-4,-3
3928916,-1,-5,-1
3928926,-2,-6,-2
3928936,0,-3,-2
3928946,0,-4,-3
3928956,-1,-3,-4
3928966,0,-4,-3
3928976,0,-5,-3
3928986,0,-4,-1
3928996,1,-7,-3
3929006,0,-5,-3
3929016,-1,-6,-3
3929026,0,-6,-3
3929036,1,-6,-1
3929046,-2,-5,-2
3929056,-2,-6,-4
3929066,-1,-5,-3
3929076,0,-4,-3
3929086,-1,-6,-4
3929096,1,-5,-1
3929106,0,-5,-2
3929116,0,-6,-5
3929126,0,-3,-1
3929136,0,-7,0
3929146,0,-6,-3
3929156,0,-5,-4
3929166,0,-5,-3
3929176,0,-6,0
3929246,1,-5,-3
3929256,0,-4,-3
3929266,0,-7,-3
3929276,0,-6,0
3929286,-1,-5,-1
3929296,0,-4,-1
3929306,-1,-4,-2
3929316,-2,-4,-1
3929326,-1,-4,0
3929336,0,-4,-1
3929346,-1,-4,-1
3929356,0,-3,-3
3929366,-2,-5,-3
3929376,0,-6,-2
3929386,0,-5,-1
3929396,0,-5,0
3929406,0,-6,-5
3929416,0,-3,-1
3929426,-1,-3,-1
3929436,1,-5,-1
3929446,1,-6,-3
3929456,-1,-5,-3
3929466,0,-4,-3
3929476,0,-6,0
3929486,-2,-3,-2
3929496,-1,-5,-2
3929506,-1,-4,-4
3929516,1,-6,-1
3929526,0,-7,-2
3929536,0,-5,-2
3929546,0,-5,-2
3929556,-2,-5,-2
3929566,0,-5,-2
